Equipo_Local,Equipo_Visitante,Cuota_Local,Cuota_Visitante,Resultado
Club Brugge,Zenit,49,51,1
Salzburg,Man. United,76,24,3
Atletico,Porto,57,43,2
Paris,Malmö,15,85,3
Liverpool,Dortmund,14,86,2
Salzburg,Bensiktas,10,90,3
Young Boys,Sheriff,29,71,2
Liverpool,Villareal,11,89,2
Sporting CP,Wolfsburg,41,59,3
Malmö,Bensiktas,12,88,3
Real Madrid,Man. City,58,42,2
Juventus,Real Madrid,100,0,2
Leipzig,Benfica,31,69,3
Sevilla,Sporting CP,87,13,1
Bensiktas,Wolfsburg,1,99,2
Villareal,Zenit,71,29,1
Ajax,Zenit,89,11,3
Young Boys,Bayern,69,31,3
Young Boys,Porto,93,7,1
Zenit,Atletico,99,1,3
Young Boys,Man. United,73,27,2
Young Boys,Man. City,49,51,2
Atlanta,Porto,94,6,2
Villareal,Liverpool,5,95,2
Man. City,LOSC,63,37,2
Leipzig,Villareal,97,3,1
Paris,Atlanta,45,55,3
Man. City,LOSC,81,19,2
Atlanta,Chelsea,9,91,3
Young Boys,Salzburg,15,85,3
Shakhtar Donetsk,Benfica,2,98,1
Ajax,Atlanta,34,66,2
Bayern,Liverpool,100,0,2
Paris,Malmö,24,76,1
Bayern,Atletico,63,37,1
Benfica,Atletico,24,76,2
Shakhtar Donetsk,Barcelona,41,59,2
Salzburg,Juventus,90,10,2
Milan,Dynamo,34,66,3
Liverpool,Wolfsburg,95,5,2
Dortmund,Dynamo,64,36,1
Bensiktas,Ajax,52,48,2
Juventus,Leipzig,42,58,2
Young Boys,Atlanta,6,94,2
Real Madrid,Ajax,64,36,3
Milan,LOSC,66,34,1
Sheriff,Milan,54,46,3
Man. City,Shakhtar Donetsk,52,48,2
Paris,Malmö,67,33,2
Bayern,Man. United,34,66,1
Sevilla,Ajax,25,75,3
Young Boys,Ajax,45,55,1
Ajax,Dynamo,67,33,2
Man. City,Atletico,62,38,3
LOSC,Porto,49,51,3
Malmö,Real Madrid,31,69,1
Juventus,Bayern,92,8,3
Paris,Atlanta,10,90,3
Sheriff,Man. City,63,37,3
Sevilla,Porto,42,58,1
Sheriff,Chelsea,35,65,1
Liverpool,Man. United,84,16,3
Malmö,Sheriff,26,74,1
Atletico,Man. United,97,3,3
Villareal,Leipzig,1,99,3
Young Boys,Juventus,14,86,3
Juventus,Internazionale,92,8,1
Juventus,Atlanta,67,33,2
Sheriff,Porto,90,10,2
Salzburg,Ajax,41,59,2
Young Boys,Ajax,35,65,1
Bayern,Barcelona,69,31,2
Salzburg,Ajax,12,88,2
Internazionale,Atletico,81,19,2
Leipzig,Sporting CP,11,89,2
Sporting CP,Atlanta,93,7,2
Shakhtar Donetsk,Dortmund,65,35,1
Porto,Juventus,42,58,2
Man. City,Dortmund,32,68,1
Internazionale,LOSC,46,54,1
Salzburg,Bayern,29,71,1
Atlanta,Villareal,98,2,3
Milan,Porto,18,82,1
Malmö,Porto,64,36,2
Shakhtar Donetsk,LOSC,22,78,2
Dynamo,Atlanta,20,80,3
Man. City,Malmö,32,68,2
Chelsea,Man. United,74,26,1
Internazionale,Paris,42,58,2
Bayern,LOSC,86,14,1
Bayern,Salzburg,48,52,1
Leipzig,Benfica,21,79,2
Benfica,LOSC,20,80,2
Man. City,Benfica,57,43,2
Bensiktas,Bayern,90,10,2
Leipzig,Porto,44,56,3
Man. City,Wolfsburg,12,88,1
Benfica,Sheriff,82,18,3
Malmö,Internazionale,38,62,3
Malmö,Villareal,79,21,1
Man. United,Bensiktas,22,78,2
Dortmund,Barcelona,13,87,3
Sheriff,Dynamo,11,89,1
Zenit,Malmö,11,89,1
LOSC,Ajax,67,33,1
Dortmund,Porto,5,95,3
Club Brugge,Man. United,78,22,2
Porto,Paris,29,71,3
Bayern,Sporting CP,20,80,2
Villareal,Bensiktas,96,4,1
Shakhtar Donetsk,Bayern,59,41,1
Atlanta,Ajax,68,32,1
Paris,Salzburg,78,22,2
Club Brugge,Atlanta,16,84,2
Sevilla,Man. United,87,13,1
Bensiktas,Atlanta,15,85,2
Benfica,Bayern,41,59,3
Ajax,Milan,72,28,1
Sheriff,LOSC,43,57,3
Benfica,Man. United,10,90,2
Salzburg,Barcelona,4,96,3
Malmö,Salzburg,55,45,3
Leipzig,LOSC,74,26,1
Salzburg,Porto,10,90,2
Internazionale,Sheriff,54,46,2
Real Madrid,Milan,41,59,3
Man. City,Sevilla,6,94,2
Leipzig,Porto,5,95,3
Man. United,Juventus,61,39,3
Salzburg,Ajax,86,14,1
Zenit,Dynamo,71,29,2
Atlanta,Real Madrid,12,88,2
Juventus,Man. City,63,37,2
Man. United,Atletico,28,72,3
Zenit,Club Brugge,79,21,2
Man. United,Barcelona,2,98,2
Dynamo,Barcelona,32,68,1
Young Boys,Paris,89,11,3
Dortmund,Atletico,97,3,3
Liverpool,Sheriff,74,26,1
Villareal,Atlanta,55,45,2
Salzburg,Porto,10,90,1
Shakhtar Donetsk,Club Brugge,90,10,2
Wolfsburg,Bensiktas,80,20,1
Real Madrid,Dortmund,53,47,2
Man. United,Zenit,9,91,1
Zenit,Malmö,30,70,2
Wolfsburg,Dynamo,83,17,1
Juventus,Sevilla,94,6,2
Internazionale,Barcelona,82,18,3
Man. City,Ajax,100,0,1
Club Brugge,Porto,63,37,3
Club Brugge,Atlanta,74,26,1
Paris,Villareal,12,88,3
Chelsea,Sporting CP,35,65,1
Benfica,Man. United,2,98,2
Porto,Ajax,2,98,2
Man. City,Zenit,41,59,3
Zenit,Sheriff,89,11,2
Salzburg,Sheriff,64,36,3
Shakhtar Donetsk,Sheriff,93,7,1
Atletico,Ajax,75,25,3
Milan,Shakhtar Donetsk,69,31,1
Dynamo,Juventus,37,63,2
Paris,Atletico,78,22,3
Malmö,Wolfsburg,44,56,1
Villareal,Ajax,72,28,2
Malmö,Atletico,100,0,2
Barcelona,Sevilla,70,30,3
Sheriff,Man. City,86,14,1
Bayern,Zenit,44,56,1
Milan,Dynamo,76,24,1
Zenit,Sporting CP,53,47,1
Liverpool,Sporting CP,97,3,1
Real Madrid,Villareal,47,53,1
Paris,Ajax,31,69,3
Wolfsburg,Young Boys,88,12,2
Villareal,Dynamo,15,85,1
Villareal,Sheriff,82,18,3
Salzburg,Wolfsburg,89,11,3
LOSC,Atlanta,45,55,2
Shakhtar Donetsk,LOSC,68,32,1
Paris,Zenit,58,42,2
Atletico,Liverpool,12,88,1
Juventus,Zenit,94,6,1
Atlanta,Young Boys,77,23,3
Benfica,Shakhtar Donetsk,93,7,1
Sevilla,Porto,86,14,3
Atlanta,Barcelona,40,60,2
Shakhtar Donetsk,Liverpool,55,45,2
Leipzig,Sevilla,12,88,3
Paris,Sporting CP,79,21,3
Liverpool,Sevilla,92,8,1
LOSC,Chelsea,22,78,2
Atlanta,Bensiktas,26,74,2
Bensiktas,Milan,74,26,3
Atlanta,Benfica,7,93,3
Salzburg,Leipzig,97,3,2
Zenit,Bayern,32,68,1
Chelsea,Young Boys,1,99,3
Leipzig,Salzburg,74,26,1
Young Boys,Atletico,27,73,2
Liverpool,Wolfsburg,82,18,2
Leipzig,Bensiktas,65,35,3
Dynamo,Man. City,32,68,1
Atletico,Juventus,3,97,1
Barcelona,Bensiktas,79,21,1
Sporting CP,Sheriff,94,6,2
Benfica,Bensiktas,34,66,3
Milan,Porto,99,1,1
Benfica,Club Brugge,60,40,2
Wolfsburg,Leipzig,59,41,3
Sevilla,Juventus,26,74,3
Sevilla,Benfica,44,56,1
Zenit,Man. City,56,44,3
Sevilla,Atlanta,42,58,1
Dynamo,Bayern,95,5,1
Club Brugge,Bensiktas,0,100,2
Bayern,Juventus,8,92,3
Juventus,Paris,79,21,1
Wolfsburg,Liverpool,6,94,3
Man. City,Malmö,75,25,2
Bayern,Juventus,67,33,3
Atletico,Villareal,81,19,3
Atletico,Liverpool,46,54,3
Porto,Bensiktas,2,98,1
Atlanta,Paris,35,65,1
Man. City,Dortmund,43,57,2
Bensiktas,Shakhtar Donetsk,26,74,1
Real Madrid,Atlanta,96,4,2
Milan,Leipzig,71,29,3
Wolfsburg,Malmö,7,93,2
Liverpool,Man. City,76,24,2
Paris,Benfica,18,82,2
Man. City,Milan,78,22,1
Sevilla,Atletico,64,36,1
Wolfsburg,Leipzig,22,78,1
Barcelona,Atletico,83,17,1
Paris,Porto,28,72,3
Young Boys,Wolfsburg,65,35,1
LOSC,Atletico,0,100,2
Porto,Dortmund,42,58,2
Atletico,Club Brugge,29,71,1
Sheriff,Man. City,15,85,3
Internazionale,Chelsea,39,61,3
Sheriff,Young Boys,33,67,3
Bayern,Zenit,54,46,3
Porto,Juventus,65,35,3
Bensiktas,Sporting CP,53,47,3
Ajax,Bayern,2,98,3
Liverpool,Sheriff,42,58,2
Man. United,Villareal,48,52,2
Benfica,Barcelona,21,79,3
Atletico,Man. United,46,54,3
Paris,LOSC,67,33,1
Sporting CP,Milan,15,85,2
Sevilla,LOSC,67,33,3
Bayern,Man. United,49,51,3
Internazionale,Benfica,31,69,2
Villareal,Chelsea,8,92,2
Sporting CP,Porto,31,69,1
Liverpool,Villareal,47,53,1
Barcelona,Villareal,70,30,3
Real Madrid,Barcelona,35,65,3
Wolfsburg,Milan,95,5,1
Salzburg,Internazionale,22,78,2
Sporting CP,Milan,92,8,1
Paris,Liverpool,61,39,1
Bayern,Man. City,46,54,2
Porto,Man. United,70,30,2
Paris,Malmö,9,91,1
Man. United,Paris,38,62,1
Club Brugge,Milan,75,25,2
Internazionale,Porto,89,11,1
Barcelona,Atlanta,6,94,1
Dortmund,Shakhtar Donetsk,78,22,1
Young Boys,Malmö,19,81,3
Young Boys,Club Brugge,50,50,3
Atlanta,Club Brugge,17,83,3
Young Boys,Villareal,2,98,1
Leipzig,Sporting CP,10,90,2
Shakhtar Donetsk,Internazionale,27,73,3
Salzburg,Sheriff,68,32,2
Dynamo,Juventus,48,52,2
Sporting CP,Atlanta,41,59,1
Liverpool,Atletico,29,71,2
Atlanta,Dortmund,42,58,1
Benfica,Shakhtar Donetsk,35,65,1
Man. United,Liverpool,56,44,2
Benfica,Real Madrid,55,45,1
Salzburg,Dynamo,65,35,2
Malmö,Dortmund,87,13,2
Atlanta,Club Brugge,23,77,2
Wolfsburg,Liverpool,58,42,2
Leipzig,Juventus,82,18,3
Young Boys,Ajax,13,87,2
Atlanta,Dynamo,42,58,1
Bayern,Young Boys,82,18,3
Juventus,Man. United,96,4,2
Dynamo,Atlanta,53,47,2
Man. City,Malmö,60,40,1
Zenit,Ajax,74,26,2
Man. City,Atlanta,21,79,2
Leipzig,Bayern,79,21,1
Dynamo,Malmö,2,98,1
Porto,Villareal,53,47,1
Club Brugge,Benfica,70,30,1
Dynamo,Barcelona,14,86,3
Paris,Club Brugge,52,48,2
Atletico,Milan,51,49,3
Atlanta,LOSC,1,99,1
Paris,Ajax,22,78,2
Young Boys,Atlanta,29,71,1
Ajax,Young Boys,40,60,2
Real Madrid,Dortmund,76,24,1
Ajax,Benfica,57,43,3
Young Boys,Porto,97,3,3
Man. United,Shakhtar Donetsk,38,62,3
Dynamo,Leipzig,62,38,3
Leipzig,Porto,26,74,3
Chelsea,Leipzig,34,66,1
Villareal,Man. United,25,75,1
Man. United,Bensiktas,82,18,3
Atletico,Dortmund,66,34,2
Sporting CP,Bensiktas,43,57,2
Sheriff,Shakhtar Donetsk,6,94,2
Villareal,Milan,84,16,1
Sevilla,Man. United,70,30,3
Man. City,Juventus,1,99,3
Internazionale,Salzburg,41,59,1
Barcelona,Dynamo,62,38,1
Milan,Salzburg,40,60,1
Chelsea,Leipzig,27,73,3
Milan,Club Brugge,2,98,3
Paris,Bensiktas,5,95,1
Man. City,Internazionale,87,13,2
Paris,Atletico,47,53,2
Bensiktas,Young Boys,11,89,2
Juventus,Sporting CP,8,92,1
Bayern,Milan,40,60,3
Sheriff,Young Boys,91,9,1
Atlanta,Bayern,90,10,1
Benfica,Sevilla,82,18,2
Leipzig,Villareal,27,73,2
Sporting CP,Young Boys,34,66,3
Bensiktas,Shakhtar Donetsk,57,43,3
Ajax,Real Madrid,24,76,1
Salzburg,Atlanta,97,3,1
Porto,Ajax,97,3,2
Bensiktas,Ajax,85,15,3
Sporting CP,Paris,59,41,2
Sporting CP,Porto,93,7,2
Dortmund,Wolfsburg,11,89,2
LOSC,Benfica,4,96,2
Shakhtar Donetsk,Dortmund,55,45,3
Milan,Bayern,64,36,2
Bensiktas,Zenit,89,11,1
Zenit,Malmö,26,74,2
Salzburg,Zenit,31,69,2
Bayern,Chelsea,82,18,3
Ajax,Zenit,37,63,2
Dynamo,LOSC,87,13,1
Bensiktas,Internazionale,9,91,3
Sheriff,Sporting CP,16,84,1
Man. United,Milan,77,23,2
Man. City,Salzburg,12,88,1
Sporting CP,Chelsea,35,65,2
Real Madrid,Leipzig,76,24,3
Man. United,Shakhtar Donetsk,18,82,2
Bensiktas,Benfica,22,78,2
Bayern,Wolfsburg,58,42,1
Paris,LOSC,9,91,3
LOSC,Paris,83,17,1
